AAPL,AMZN,BABA,BBY,GE,GM,GOOG,MA,PFE,RRC,SBUX,T,WMT,XOM
0.0034305177556296844,0.530465683995785,0.0,0.0,0.0,0.0,0.0,0.4611315429464955,0.0,0.0,0.0038366178880209515,0.0,0.0011356374140689253,0.0
0.0018052366826922515,0.08752220667105134,0.0,0.0,0.0,0.0,0.17403888341024135,0.4500546256482009,0.0,0.0,0.04273589918913332,0.0,0.2438431483986807,0.0
0.02917254793306076,0.003011441724634034,0.008785212194253144,0.00402708297658995,0.0,0.0033225491771117673,0.10866502569005443,0.028731179350269802,0.15659271031551913,0.0,0.03444999944398336,0.18899255263271592,0.26030779483441774,0.17394190372738993
0.0,0.5445969474497365,0.0,0.0,0.0,0.0,0.0,0.45540305255026353,0.0,0.0,0.0,0.0,0.0,0.0
0.02814375837427716,0.1622543645614017,0.0,0.0,0.0,0.0,0.16109650284678376,0.5807461022728538,0.0,0.0,0.022842700780878463,0.0,0.04491657116380501,0.0
0.022736163094850634,0.018962569280085276,0.01746068378082619,0.03108219518960274,0.0016217796430549407,0.00373292058233809,0.15270481100444558,0.03210756296553619,0.1029451042514906,0.003121908884813601,0.03545100714938908,0.16247426729233763,0.2486177109344356,0.1669813159467938
0.011035546084649277,0.05451221125374428,0.0,0.0,0.001801459423364099,0.0,0.2071699687125121,0.31390536142750763,0.0401539880910061,0.0,0.027445573745853206,0.01828882242899461,0.2693183670156725,0.05636870181669637
0.0,0.594488558745465,0.0,0.0,0.0,0.0,0.0,0.40551144125453503,0.0,0.0,0.0,0.0,0.0,0.0
0.007596108593513015,0.17705313297529202,0.0,0.0,0.0,0.0,0.17839792717860936,0.6258855585579614,0.0,0.009398964259649974,0.0,0.0,0.0016683084349743335,0.0
0.02617363005889656,0.013748342449745033,0.0026740816026459718,0.0,0.0,0.0,0.137943522910274,0.08376732240898298,0.1525083121886011,0.0,0.030738159856770562,0.15051439024006005,0.22875512624780373,0.17317711203621994
0.0,0.6655460338050612,0.0,0.0,0.0,0.0,0.0,0.33445396619493883,0.0,0.0,0.0,0.0,0.0,0.0
0.03063525976671572,0.07257164612706568,0.0,0.0,0.0,0.0,0.18705430648658605,0.41400472437542146,0.03583305823406826,0.0,0.017061912124667337,0.0,0.2428390928854755,0.0
0.0,0.4152739469541465,0.0,0.0,0.0,0.0,0.0,0.5847260530458535,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7458213988000789,0.0,0.0,0.0,0.0,0.0,0.2541786011999211,0.0,0.0,0.0,0.0,0.0,0.0
0.0018947889506149812,0.12491707151485829,0.0,0.0,0.0,0.0,0.28208879020932376,0.5910993493252031,0.0,0.0,0.0,0.0,0.0,0.0
